32feet,https://github.com/inthehand/32feet
510-Null,https://github.com/ljh198275823/510-Null
aa,https://github.com/qingqibing/aa
AlienForceProject,https://github.com/KalebYoder/AlienForceProject
ArrangeWF,https://github.com/DmitryOlenin/ArrangeWF
asegrp,https://github.com/taoxiease/asegrp
AT_1,https://github.com/smarroquin/AT_1
ATMELGitSCC,https://github.com/hardliner66/ATMELGitSCC
AutomationFramework,https://github.com/sanjaykumarsoni/AutomationFramework
AutoTest.Net,https://github.com/continuoustests/AutoTest.Net
Backend,https://github.com/liujunhua/Backend
bounce,https://github.com/jvukovich/bounce
CameraControls,https://github.com/wlindley/CameraControls
CHeaderGenerator,https://github.com/cmc13/CHeaderGenerator
Check.NET,https://github.com/AgentBurgundy/Check.NET
Cloud-20130722Release0_3_6_0,https://github.com/MatthewMerricks/Cloud
codegen-lib,https://github.com/christoforosl/codegen-lib
CodeGuruExercises,https://github.com/shenoyroopesh/CodeGuruExercises
CommunityServerBX,https://github.com/gridgentoo/CommunityServerBX
conqat,https://github.com/larsrh/conqat
ContinuousTests,https://github.com/continuoustests/ContinuousTests
copy_of_nrefactory,https://github.com/enginekit/copy_of_nrefactory
Crawler2,https://github.com/MartinAnder/Crawler2
CSharp_COM_maker,https://github.com/DBJDBJ/CSharp_COM_maker
CSharpUnitTestExample,https://github.com/1wintersweet/CSharpUnitTestExample
csla,https://github.com/MarimerLLC/csla
CsQuery,https://github.com/jamietre/CsQuery
das-tasks,https://github.com/SkillsFundingAgency/das-tasks
demo_auth,https://github.com/HalleyLi/demo_auth
Design-Patterns,https://github.com/Usman-Amir/Design-Patterns
DesignScriptCore,https://github.com/junmendoza/DesignScriptCore
DesignScriptStudio,https://github.com/junmendoza/DesignScriptStudio
Disil,https://github.com/scottwis/Disil
DomQuery,https://github.com/prepare/DomQuery
dot42,https://github.com/dot42/dot42
dotnetautoupdate,https://github.com/DrewNaylor/dotnetautoupdate
DotSpatial-develop,https://github.com/patsissons/DotSpatial
DotSpatial-PCL,https://github.com/ExRam/DotSpatial-PCL
dotvim,https://github.com/BlackCapCoder/dotvim
DRDataAccess,https://github.com/Gotik88/DRDataAccess
Dynamo,https://github.com/DynamoDS/Dynamo
DZ.Tools,https://github.com/dmit25/DZ.Tools
e2d2-mono-post-hn.zip,https://github.com/apanda/e2d2-mono
Enterprise-Library-2.0,https://github.com/FSharpCSharp/Enterprise-Library-2.0
Epsylon.glTF2Toolkit,https://github.com/vpenades/Epsylon.glTF2Toolkit
Euromoney.RecruitmentTest,https://github.com/fjrosario/Euromoney.RecruitmentTest
EveryOneProgram,https://github.com/kerwinxu/EveryOneProgram
FileIO,https://github.com/ghunreal/FileIO
FizzBuzzStep3,https://github.com/IretonWeb/FizzBuzzStep3
flubu.core,https://github.com/flubu-core/flubu.core
fluent-build,https://github.com/xingh/fluent-build
flying-colors-commander,https://github.com/isensible/flying-colors-commander
fodder,https://github.com/grammarware/fodder
FSOMina.NET,https://github.com/RHY3756547/FSOMina.NET
gallio-resharper_support.zip,https://github.com/citizenmatt/gallio
GDP,https://github.com/Usman-Amir/GDP
GedCom.NET,https://github.com/Bert6623/Gedcom.Net
gitextensionstest,https://github.com/fernsehkind/gitextensionstest
GraduationGame,https://github.com/Gnurgen/GraduationGame
Gu.Analyzers,https://github.com/GuOrg/Gu.Analyzers
guiunit,https://github.com/mono/guiunit
Hackathon,https://github.com/vtkarthi/Hackathon
hadoop.net,https://github.com/hakeemsm/hadoop.net
hdrepository,https://github.com/v-kabanov/hdrepository
HellBlaster,https://github.com/jmuria/HellBlaster
HolisticWare.Core.Linq,https://github.com/HolisticWare/HolisticWare.Core.Linq
HolisticWare.Core.Text,https://github.com/HolisticWare/HolisticWare.Core.Text
